order_id,order_date,customer_id,customer_name,city,country,segment,product_id,product_name,category,sub_category,unit_price,quantity,discount
ORD-0001,2023-02-24,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P002,Standing Desk,Furniture,Tables,450.0,3,0.0
ORD-0002,2023-11-21,C006,Fitri Handayani,Bali,Indonesia,Consumer,P003,"LED Monitor 24""",Technology,Displays,180.0,4,0.2
ORD-0003,2024-05-01,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P003,"LED Monitor 24""",Technology,Displays,180.0,4,0.0
ORD-0004,2023-12-15,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P005,USB-C Hub,Technology,Accessories,55.0,1,0.0
ORD-0005,2025-07-01,C003,Ahmad Dahlan,Surabaya,Indonesia,Home Office,P002,Standing Desk,Furniture,Tables,450.0,4,0.0
ORD-0006,2023-09-25,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P003,"LED Monitor 24""",Technology,Displays,180.0,1,0.1
ORD-0007,2023-12-02,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P002,Standing Desk,Furniture,Tables,450.0,1,0.0
ORD-0008,2024-03-25,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P006,Notebook A5,Office Supplies,Paper,8.0,5,0.2
ORD-0009,2023-04-19,C007,Gunawan Wibowo,Semarang,Indonesia,Home Office,P002,Standing Desk,Furniture,Tables,450.0,3,0.2
ORD-0010,2024-09-28,C005,Eko Prasetyo,Medan,Indonesia,Corporate,P003,"LED Monitor 24""",Technology,Displays,180.0,3,0.1
ORD-0011,2025-11-02,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P002,Standing Desk,Furniture,Tables,450.0,5,0.0
ORD-0012,2025-07-06,C007,Gunawan Wibowo,Semarang,Indonesia,Home Office,P004,Wireless Mouse,Technology,Accessories,35.0,1,0.1
ORD-0013,2025-11-21,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P009,Headphones,Technology,Audio,120.0,1,0.0
ORD-0014,2024-09-03,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P003,"LED Monitor 24""",Technology,Displays,180.0,3,0.2
ORD-0015,2023-08-18,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P008,Desk Lamp,Furniture,Furnishings,42.0,2,0.2
ORD-0016,2025-12-31,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P001,Ergonomic Chair,Furniture,Chairs,250.0,4,0.0
ORD-0017,2025-07-17,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P008,Desk Lamp,Furniture,Furnishings,42.0,2,0.0
ORD-0018,2025-09-07,C005,Eko Prasetyo,Medan,Indonesia,Corporate,P010,Whiteboard,Office Supplies,Supplies,65.0,3,0.2
ORD-0019,2025-02-27,C003,Ahmad Dahlan,Surabaya,Indonesia,Home Office,P008,Desk Lamp,Furniture,Furnishings,42.0,1,0.0
ORD-0020,2025-09-14,C003,Ahmad Dahlan,Surabaya,Indonesia,Home Office,P003,"LED Monitor 24""",Technology,Displays,180.0,2,0.0
ORD-0021,2025-10-21,C005,Eko Prasetyo,Medan,Indonesia,Corporate,P001,Ergonomic Chair,Furniture,Chairs,250.0,5,0.0
ORD-0022,2024-12-07,C006,Fitri Handayani,Bali,Indonesia,Consumer,P007,Stapler,Office Supplies,Binders,15.0,3,0.0
ORD-0023,2024-06-21,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P007,Stapler,Office Supplies,Binders,15.0,3,0.0
ORD-0024,2024-08-07,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P008,Desk Lamp,Furniture,Furnishings,42.0,2,0.1
ORD-0025,2025-05-28,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P002,Standing Desk,Furniture,Tables,450.0,5,0.2
ORD-0026,2025-01-31,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P007,Stapler,Office Supplies,Binders,15.0,2,0.1
ORD-0027,2024-12-26,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P010,Whiteboard,Office Supplies,Supplies,65.0,2,0.0
ORD-0028,2024-04-25,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P010,Whiteboard,Office Supplies,Supplies,65.0,5,0.0
ORD-0029,2025-03-08,C003,Ahmad Dahlan,Surabaya,Indonesia,Home Office,P002,Standing Desk,Furniture,Tables,450.0,4,0.0
ORD-0030,2025-06-14,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P010,Whiteboard,Office Supplies,Supplies,65.0,1,0.0
ORD-0031,2025-11-23,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P005,USB-C Hub,Technology,Accessories,55.0,5,0.0
ORD-0032,2024-08-15,C003,Ahmad Dahlan,Surabaya,Indonesia,Home Office,P001,Ergonomic Chair,Furniture,Chairs,250.0,4,0.0
ORD-0033,2023-10-09,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P006,Notebook A5,Office Supplies,Paper,8.0,1,0.0
ORD-0034,2025-01-29,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P003,"LED Monitor 24""",Technology,Displays,180.0,1,0.0
ORD-0035,2025-02-25,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P004,Wireless Mouse,Technology,Accessories,35.0,2,0.0
ORD-0036,2024-11-16,C006,Fitri Handayani,Bali,Indonesia,Consumer,P007,Stapler,Office Supplies,Binders,15.0,5,0.1
ORD-0037,2025-08-27,C006,Fitri Handayani,Bali,Indonesia,Consumer,P001,Ergonomic Chair,Furniture,Chairs,250.0,4,0.0
ORD-0038,2023-06-18,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P004,Wireless Mouse,Technology,Accessories,35.0,3,0.2
ORD-0039,2024-02-05,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P003,"LED Monitor 24""",Technology,Displays,180.0,4,0.0
ORD-0040,2023-05-28,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P003,"LED Monitor 24""",Technology,Displays,180.0,2,0.0
ORD-0041,2023-04-19,C007,Gunawan Wibowo,Semarang,Indonesia,Home Office,P001,Ergonomic Chair,Furniture,Chairs,250.0,1,0.0
ORD-0042,2024-08-13,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P001,Ergonomic Chair,Furniture,Chairs,250.0,1,0.0
ORD-0043,2023-10-12,C005,Eko Prasetyo,Medan,Indonesia,Corporate,P004,Wireless Mouse,Technology,Accessories,35.0,2,0.0
ORD-0044,2023-04-08,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P002,Standing Desk,Furniture,Tables,450.0,3,0.0
ORD-0045,2023-10-05,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P009,Headphones,Technology,Audio,120.0,2,0.0
ORD-0046,2023-02-18,C003,Ahmad Dahlan,Surabaya,Indonesia,Home Office,P004,Wireless Mouse,Technology,Accessories,35.0,1,0.0
ORD-0047,2024-09-17,C007,Gunawan Wibowo,Semarang,Indonesia,Home Office,P010,Whiteboard,Office Supplies,Supplies,65.0,4,0.2
ORD-0048,2023-04-10,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P005,USB-C Hub,Technology,Accessories,55.0,3,0.0
ORD-0049,2023-04-09,C005,Eko Prasetyo,Medan,Indonesia,Corporate,P003,"LED Monitor 24""",Technology,Displays,180.0,2,0.0
ORD-0050,2023-09-03,C007,Gunawan Wibowo,Semarang,Indonesia,Home Office,P007,Stapler,Office Supplies,Binders,15.0,4,0.0
ORD-0051,2025-07-11,C006,Fitri Handayani,Bali,Indonesia,Consumer,P005,USB-C Hub,Technology,Accessories,55.0,1,0.0
ORD-0052,2024-11-07,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P010,Whiteboard,Office Supplies,Supplies,65.0,4,0.0
ORD-0053,2024-12-28,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P009,Headphones,Technology,Audio,120.0,2,0.0
ORD-0054,2024-04-14,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P008,Desk Lamp,Furniture,Furnishings,42.0,3,0.2
ORD-0055,2024-02-13,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P005,USB-C Hub,Technology,Accessories,55.0,4,0.0
ORD-0056,2024-09-11,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P010,Whiteboard,Office Supplies,Supplies,65.0,5,0.0
ORD-0057,2023-04-03,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P008,Desk Lamp,Furniture,Furnishings,42.0,5,0.0
ORD-0058,2023-10-19,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P004,Wireless Mouse,Technology,Accessories,35.0,4,0.0
ORD-0059,2024-12-27,C005,Eko Prasetyo,Medan,Indonesia,Corporate,P002,Standing Desk,Furniture,Tables,450.0,5,0.0
ORD-0060,2025-07-23,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P006,Notebook A5,Office Supplies,Paper,8.0,1,0.0
ORD-0061,2024-01-06,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P002,Standing Desk,Furniture,Tables,450.0,2,0.1
ORD-0062,2024-01-30,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P006,Notebook A5,Office Supplies,Paper,8.0,3,0.2
ORD-0063,2025-10-19,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P009,Headphones,Technology,Audio,120.0,2,0.0
ORD-0064,2025-01-08,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P009,Headphones,Technology,Audio,120.0,3,0.0
ORD-0065,2025-05-03,C006,Fitri Handayani,Bali,Indonesia,Consumer,P009,Headphones,Technology,Audio,120.0,1,0.1
ORD-0066,2023-02-24,C006,Fitri Handayani,Bali,Indonesia,Consumer,P006,Notebook A5,Office Supplies,Paper,8.0,1,0.1
ORD-0067,2024-01-05,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P007,Stapler,Office Supplies,Binders,15.0,2,0.0
ORD-0068,2023-08-06,C007,Gunawan Wibowo,Semarang,Indonesia,Home Office,P003,"LED Monitor 24""",Technology,Displays,180.0,5,0.0
ORD-0069,2025-11-04,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P007,Stapler,Office Supplies,Binders,15.0,4,0.0
ORD-0070,2025-01-02,C005,Eko Prasetyo,Medan,Indonesia,Corporate,P008,Desk Lamp,Furniture,Furnishings,42.0,3,0.0
ORD-0071,2025-08-02,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P004,Wireless Mouse,Technology,Accessories,35.0,4,0.0
ORD-0072,2025-12-29,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P004,Wireless Mouse,Technology,Accessories,35.0,1,0.1
ORD-0073,2025-02-24,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P006,Notebook A5,Office Supplies,Paper,8.0,4,0.2
ORD-0074,2025-03-01,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P001,Ergonomic Chair,Furniture,Chairs,250.0,3,0.0
ORD-0075,2025-08-18,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P004,Wireless Mouse,Technology,Accessories,35.0,2,0.2
ORD-0076,2024-09-13,C007,Gunawan Wibowo,Semarang,Indonesia,Home Office,P009,Headphones,Technology,Audio,120.0,2,0.2
ORD-0077,2023-11-28,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P004,Wireless Mouse,Technology,Accessories,35.0,5,0.0
ORD-0078,2024-01-19,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P005,USB-C Hub,Technology,Accessories,55.0,1,0.0
ORD-0079,2025-06-29,C005,Eko Prasetyo,Medan,Indonesia,Corporate,P003,"LED Monitor 24""",Technology,Displays,180.0,2,0.0
ORD-0080,2024-01-22,C006,Fitri Handayani,Bali,Indonesia,Consumer,P009,Headphones,Technology,Audio,120.0,5,0.1
ORD-0081,2025-12-05,C006,Fitri Handayani,Bali,Indonesia,Consumer,P009,Headphones,Technology,Audio,120.0,1,0.1
ORD-0082,2025-11-20,C001,Budi Santoso,Jakarta,Indonesia,Consumer,P005,USB-C Hub,Technology,Accessories,55.0,4,0.0
ORD-0083,2023-09-22,C006,Fitri Handayani,Bali,Indonesia,Consumer,P001,Ergonomic Chair,Furniture,Chairs,250.0,2,0.1
ORD-0084,2024-07-13,C008,Hana Permata,Yogyakarta,Indonesia,Consumer,P006,Notebook A5,Office Supplies,Paper,8.0,1,0.0
ORD-0085,2023-12-27,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P003,"LED Monitor 24""",Technology,Displays,180.0,2,0.1
ORD-0086,2025-08-11,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P002,Standing Desk,Furniture,Tables,450.0,3,0.0
ORD-0087,2025-10-01,C002,Siti Nurhaliza,Bandung,Indonesia,Corporate,P009,Headphones,Technology,Audio,120.0,5,0.2
ORD-0088,2023-12-22,C004,Dewi Lestari,Jakarta,Indonesia,Consumer,P001,Ergonomic Chair,Furniture,Chairs,250.0,3,0.1
